considerable|adj. 重要的；相当大的；可观的
fabricate|v. 编造；捏造；制造
generative|adj. 能生产的；生殖的；（语言学中）生成的
manufactured|v. 制造；虚构；捏造；“manufacture”的过去式和过去分词
manufacturer|n. 制造商
mechanical|adj. 机械的；无思想的
preserve|v. 保存；保护；保持；n. （某群体）专有的活动；保护区
keep|v. 继续；保持；保留
store|n. 商店；店铺；仓库；储存；v. 贮藏；存储
productive|adj. 生产的；多产的；富有成效的
item|n. 项目；条款；一则； 一件物品或商品
board|n. 板；董事会；v. 上船（或火车、飞机等）
canvas|n. 帆布；帆布画布
craft|n. 工艺；手艺；诡计；行业；小船；艇；航空器；v. 精心制作
entity|n. 独立存在体；实体
girdle|n. 紧身褡；腰带；围绕物；v. 以腰带束缚；围绕
leash|n. 牵狗的链子或皮带；控制；约束
souvenir|n. 纪念品；纪念物
spur|n. 马刺；鞭策；v. 刺激；鞭策
stick|v. 粘附；刺；（随意）放置；卡住；忍受；n. 棍枝；球棍；条状物，（一）根
strip|v. 剥去；剥夺；脱衣；n. 长条；条状
tugboat|n. 拖船
varnish|n. 清漆；漆面；光泽面；v. 给…涂上清漆
vessel|n. 器皿；容器；船；血管
cavern|n. 大洞穴；大山洞
cavity|n. 腔；窝；洞；孔
empty|adj. 空的；v. 倒空；变空
evacuate|v. 撤离；疏散；撤出
evacuation|n. 撤离
vacant|adj. 空缺的；空虚的；茫然若失的
vacuous|adj. 空虚的；茫然的；空洞的
vacuum|n. 真空；空虚；v. 用真空吸尘器打扫
void|adj. 空的；缺乏的；无效的；n. 空白；空虚；v. 取消；使无效
theorist|n. 理论家
ideal|adj. 理想的；n. 理想；典范
idealistic|adj. 理想主义的；空想的；唯心论的
ideally|adv. 理想地；理论上
pride|n. 骄傲；自豪；自尊；v. 对…感到自豪
collective|adj. 集体的；共同的；n. 集体
accomplishment|n. 成就；完成
credit|n. 赞扬；荣誉；赊账；信用；贷款；学分；v. 相信；给银行账户上存钱
give ... credit for|phrase. 因…赞扬
discredit|n. 不信任；名誉丧失；信誉丧失；v. 不信；败坏名声；使丢脸
belief|n. 信仰；信念
credibility|n. 可信性；可靠性
credible|adj. 可信的；可靠的
incredible|adj. 难以置信的
faith|n. 信心；信仰；信任；真诚；忠实
persuade|v. 说服；劝说
aesthetician|n. 美学家
aesthetics|n. 美学；审美学
astrologist|n. 占星家
astrology|n. 占星术；占星学
botanist|n. 植物学家
demographer|n. 人口统计学家
demography|n. 人口统计学
ecologist|n. 生态学家；生态学者
entomologist|n. 昆虫学家
entomology|n. 昆虫学
ethnologist|n. 民族学家
ethnology|n. 人种学
geographer|n. 地理学者
geologist|n. 地质学家
geology|n. 地质学
linguistician|n. 语言学家
linguistics|n. 语言学
mathematician|n. 数学家
meteorologist|n. 气象学家
meteorology|n. 气象学
neurologist|n. 神经病学家；神经科专门医师
neurology|n. 神经病学；神经学
oceanographer|n. 海洋学家；海洋学者
oceanography|n. 海洋学
ornithologist|n. 鸟类学家
ornithology|n. 鸟类学
paleontologist|n. 古生物学者
paleontology|n. 古生物学
pathologist|n. 病理学家；病理学者
philosopher|n. 哲学家
philosophy|n. 哲学
physiologist|n. 生理学家；生理学研究者
physiology|n. 生理学；生理机能
seismologist|n. 地震学家
seismology|n. 地震学
conceal|v. 隐藏；隐瞒
cryptic|adj. 隐秘的；秘密的；隐晦的
dissemble|v. 掩饰；假装；隐藏
feign|v. 假装；装作
hide|v. 隐藏；躲藏；隐瞒；n. 兽皮；人皮
lurk|v. 潜伏；隐藏；n. 潜伏；埋伏
pretend|v. 假装；佯装；自称
seclusion|n. 隐居；隔绝
sneak|v. 溜；偷偷地做；adj. 突然的；出其不意的；n. 鬼鬼祟祟的人；偷偷摸摸
think of sb. as sth.|phrase. 把某人当作某物
think of sth. as sth.|phrase. 把某物当作某物
essentially|adv. 本质上；基本上；根本上
essential|adj. 必需的；基本的；本质的；n. 必需品
visual|adj. 视力的；视觉的
experience|v. 经历；体验；n. 经验；阅历
afford|v. 买得起；担负得起；有时间做；给予
affordable|adj. 支付得起的
underestimate|v. 低估；对…估计不足；n. 低估；轻视
importance|n. 重要性；重要
action|n. 行动；行为
adaptation|n. 适应；改编的作品
adaptable|adj. 能适应的；可适用的
adapter|n. 改编者；适配器；多头电源插座
board of censors|phrase. 审查委员会；审查署
cast|v. 投射；投掷；扔；n. 全体演员
casting|v. 投掷；抛；“cast”的现在分词；n. 铸件
censor|n. 审查员；检查员；v. 检查；审查
censorship|n. 审查；审查制度
cinematographer|n. 电影摄影师
cinematography|n. 电影术；电影摄影学
close-up|n. 特写照片；特写镜头
costume|n. 服装；衣服；戏服；v. 给…穿上服装
crew|n. 全体船员；全体人员
cutting|n. 切割；剪报，剪辑；v. 切；割；削减；“cut”的现在分词；adj. 锐利的；像£割似的
director|n. 指导者；主任；导演；董事
dissolve|v. 溶解；解散；散去；失控
dub|v. 起绰号；把…称作；配音；译制
edit|v. 编辑；剪辑
exterior|n. 外观；外表；adj. 外面的；外部的
film industry|phrase. 电影工业；电影产业；电影业
filmmaking|n. 电影制作
full shot|phrase. 全景
in the spotlight|phrase. 在聚光灯下；成为焦点
leading actor and actress|phrase. 男女主角；主演
lighting|n. 照明；灯光；v. 点燃；照亮；“light”的现在分词
long shot|n. 成功希望很小的冒险
play a role|phrase. 起作用；扮演角色
plot|n. 小块用地；图表；情节；阴谋；秘密计划；v. 划分；设计情节；绘图；密谋
poster|n. 海报；招贴画；宣传画
scenario|n. 设想；可能发生的情况；情节梗概
scenarist|n. 编剧
screen|n. 屏幕；屏风；掩蔽物；v. 筛查；掩蔽；放映
screening|n. 筛查；放映；播放；v. 掩蔽；包庇；放映；拍摄；筛；“screen”的现在分词
screenplay|n. 电影剧本
screenwriter|n. 电影剧本作家；编剧家
scriptwriter|n. （电影、电视剧、广播剧的）剧作家
setting|n. 环境；背景；（日月的）沉落；v. 设置；放；“set”的现在分词
shooting|n. 射击；发射；v. 射击；射门；疾驰；“shoot”的现在分词
slow motion|phrase. 慢动作
sound effect|phrase. 音效
sound recording|phrase. 录音；录音资料
soundtrack|n. 声道；音带；声迹；电影的配乐
special effect|phrase. 特技效果
stand-in|n. 临时替代者；替身演员
storyline|n. 故事情节
supporting actor and actress|n. 男女配角
video camera|phrase. 摄像机
visual effect|phrase. 视觉效果
walk-on|n. 小角色，龙套角色；adj. （角色）跑龙套的
3D glasses|phrase. 3D眼镜
animation|n. 活跃；生气；兴奋；动画
anime|n. 日本动漫
banned film|phrase. 禁映影片；禁片
box office|n. 售票处；票房收入
catch a flick|phrase. 看电影
clip|n. 小夹子；回形针；（电影）片段；剪报；v. 修剪；夹住
drive-in theater|phrase. 汽车电影院
film festival|phrase. 电影节
IMAX|abbr. 宽银幕投影系统；“Image Maximum”的缩写
late movie|phrase. 晚场电影
movie star|phrase. 电影明星
must-see movie|phrase. 必看的电影 ；不容错过的电影
popcorn|n. 爆米花
preview|n. 预审；预看；试映；预习；v. 预映；预看；预习；写预评
release time|phrase. 释放时间
stereo glasses|phrase. 立体眼镜
tearjerker|n. 催人泪下的作品
ticket|n. 票；车票
touching|adj. 感人的；动人的；prep. 关于；涉及；v. 触摸；接触；触动；“touch”的现在分词
moving|adj. 感人的；动人的；可移动的；运动的；v. 移动；搬家；“move”的现在分词
zombie|n. 僵尸
action film|phrase. 动作片
affectional film|phrase. 爱情电影；爱情片
comedy|n. 喜剧
detective film|phrase. 侦探片
documentary|adj. 记录的；文书的；纪实的；n. 纪录片
martial arts movie|phrase. 武侠片；武打电影
newsreel|n. 新闻短片
romantic comedy|phrase. 浪漫喜剧；爱情喜剧
thriller|n. 惊险小说（或戏剧、电影）
transport|n. 运输；v. 运输
transportation|n. 运输；交通工具；运输系统
concern|v. 涉及；担忧；n. 担忧；挂念；关注；关心
due|adj. 预期的；应给的；到期的
extent|n. 长度；广度；程度
a set of|phrase. 一组；一副；一套
circa|adv. 大约
cubic|adj. 立方的
dozen|n. 很多； 一打；十二个
gallon|n. 加仑
gram|n. 克
gross|adj. 总的；严重的；过分的
in length|phrase. 长度上
liter|n. 公升
metric|adj. 米制的；公制的
net weight|phrase. 净重
ounce|n. 少量；盎司
pound|n. 镑；英镑；v. 连续重击；捣碎
specification|n. 规格；规范
tare|n. 皮重；杂草 ；vt. 称皮重
the number of|phrase. …的数目
tolerance|n. 宽容；忍耐力
ton|n. 吨
absolute|adj. 完全的；绝对的
barely|adv. 仅仅；几乎不
merely|adv. 仅仅；只不过
categorical|adj. 绝对的；确定无疑的；分类的
definite|adj. 肯定的；确定的
positive|adj. 积极的；正面的
unconditional|adj. 无条件的；无限制的；绝对的
clean|v. 打扫；使干净；adj. 洁净的；干净的
totally|adv. 完全地
completely|adv. 非常；完全地
complete|adj. 完整的；完成的；v. 完成；使完整
dead|adj. 死的；n. 死；死人；adv. 完全地；绝对地
drastic|adj. 激烈的；急剧的；猛烈的
violent|adj. 暴力的；猛烈的
entirely|adv. 完全地；全部地；彻底地
solely|adv. 只；仅；唯；单独地
exorbitant|adj. 过度的；过高的；过分的
excessive|adj. 过度的；过分的
unreasonable|adj. 不理智的；不合理的；过度的
fairly|adv. 公正地；相当地
relatively|adv. 相对地；比较地
grossly|adv. 非常；极度地；极其
greatly|adv. 非常；大大地；很
hardly|adv. 几乎没有；简直不
scarcely|adv. 几乎不；刚刚；决不
imperative|adj. 紧急的；极重要的；祈使的；n. 紧急的事；祈使语气
necessary|adj. 必需的；必要的；必然的
urgent|adj. 紧急的；紧迫的
impetuous|adj. 鲁莽的；冲动的
inordinate|adj. 过度的；无节制的
immoderate|adj. 无节制的；不适中的；过度的
intense|adj. 强烈的；剧烈的；紧张的
severe|adj. 严重的；非常困难的；严厉的
intensive|adj. 密集的；增强的
concentrated|adj. 浓缩的；密集的；全神贯注的；v. 集中；浓缩；“concentrate”的过去式和过去分词
nearly|adv. 几乎；将近；差不多
almost|adv. 几乎；差不多
profoundly|adv. 深深地；深刻地
deeply|adv. 深深地；深刻地；非常
rough|adj. 粗糙的；粗暴的；粗略的；艰苦的；adv. 粗野地；艰苦地
approximate|adj. 近似的；大约的；v. 接近；粗略估计
roughly|adv. 粗略地；大约；粗暴地
approximately|adv. 大约；大概
sharp|adj. 锋利的；灵敏的；尖刻的；骤变的
sudden|adj. 突然的；忽然的；n. 突然发生
somewhat|adv. 有点；稍微
to some degree|phrase. 从某种程度上来说
utterly|adv. 全然地；绝对地
absolutely|adv. 绝对地；完全地
vehemence|n. 热烈；强烈；猛烈；愤怒
vehement|adj. （感情）强烈的；激烈的
deform|v. （使）变形；使畸形
deformation|n. 变形；畸形；变态
deformed|adj. 畸形的；变形的；v. （使）变形；使畸形；“deform”的过去式和过去分词
fickle|adj. 易变的；无常的；感情不专的
track|n. 轨道；踪迹；小路；跑道；v. 追踪；跟踪
temporal|adj. 时间的；世俗的；暂存的
inventor|n. 发明家；发明者；创造者
sundial|n. 日晷；日规
length|n. 长度
direction|n. 方向；指导；指示；命令
decimalism|n. 十进制
decimal|adj. 小数的；十进位的；n. 小数
gunpowder|n. 火药；有烟火药
hieroglyphic|adj. 象形文字的
paper-making|n. 造纸；造纸术
printing|n. 印刷；印刷术；v. 打印；印刷；“print”的现在分词
seismograph|n. 地动仪；测震仪
waterwheel|n. 水车；吊水机
antiquarian|n. 古文物研究者（或收藏家、经营者）；adj. 古物的；文物的
Bronze Age|n. 青铜器时代
Iron Age|n. 铁器时代
material culture|phrase. 物质文化；物质文明
abiding|adj. 持久不变的
abrupt|adj. 突然的；唐突的；粗鲁无礼的；不连贯的；陡峭的
chronic|adj. 长期的；慢性的
concur|v. 意见一致；同意
concurrent|adj. 同时发生的
contemporary|adj. 现代的；当代的；同时代的；n. 同代人；同辈人；同龄人
cursory|adj. 匆匆的；粗略的；仓促的
dated|adj. 过时的；陈旧的；v. 标日期；约会；追溯到；“date”的过去式和过去分词
duration|n. 持续时间；期间
elapse|v. 逝去；过去；n. （光阴）逝去
eternal|adj. 不朽的；永久的
everlasting|adj. 永久的；永恒的；经久不变的
extant|adj. 尚存的；现存的
extemporaneous|adj. 即席的；临时的；无准备的；不用讲稿的
former|adj. 以前的；前者的；n. 模子
formerly|adv. 以前；从前；原来
hasty|adj. 匆忙的；草率的；急躁的
immediate|adj. 立即的；即刻的；¸近的；紧接的
immediately|adv. 立即；马上；conj. 即刻
impromptu|adj. 无准备的；即兴的；即席的；adv. 无准备地；即兴地；即席地
improvise|v. 即兴创作；即兴表演；临时准备
instantaneous|adj. 瞬间的；即刻的
interlude|n. 间歇；插曲；幕间节目
juncture|n. 时刻；关头；接合
lasting|adj. 持久的；恒久的；v. 持续；“last”的现在分词
lately|adv. ¸近；近来
nocturnal|adj. 夜间活动的；夜间发生的
obsolete|adj. 过时的；废弃的；淘汰的
overdue|adj. 过期的；未还的；逾期的
perennial|adj. 永久的；反复出现的；多年生的；n. 多年生植物
permanent|adj. 永久的；持久的
pressing|adj. 紧迫的；紧急的；v. 按；压榨；“press”的现在分词
previous|adj. 先前的
previously|adv. 以前；先前
schedule|n. 日程表；时间表；v. 安排
session|n. 会议；会期；开庭；学期；一段时间
simultaneously|adv. 同时地
synchronise|v. （使）同步；（使）同速进行
temporary|adj. 短暂的；临时的
transient|adj. 短暂的
transitory|adj. 暂时的；片刻的；转瞬即逝的
analysis|n. 分析；剖析
analyst|n. 分析者；化验员
analyse|v. 分析
figure|n. 数字；身材；重要或有名的人物；v. 计算；认为；弄懂
proportion|n. 比例；份额
seed|n. 种子；籽；v. 播种；结籽
germinate|v. 使发芽或发育；使产生
detail|n. 细节；详情；详细；v. 详述；细说；派遣
impressive|adj. 令人印象深刻的；令人钦佩的
affecting|adj. 感人的；动人的；v. 影响；“affect”的现在分词
impressively|adv. 令人难忘地
blossom|v. 开花；兴旺；发展；n. （果树的）花朵；兴旺；发展
bud|n. 芽；蓓蕾；v. 发芽
cross-breed|v. 杂交
fructification|n. 果实；结果实
fruit|n. 水果；成果；v. 结果实
fruition|n. 取得成果；实现；完成
germ|n. 病菌；萌芽
immature|adj. 不成熟的
kernel|n. 核心；仁；谷粒；要点
life cycle|phrase. 生活周期；存在周期
luxuriant|adj. 茂密的；茂盛的；华丽的
photosynthesis|n. 光合作用
photosynthetic|adj. 光合的
pistil|n. 雌蕊
pollen|n. 花粉
pollinate|v. 授粉；传粉
